net,length_um
net2,99.22µm
_22_,85.27µm
net1,81.3µm
net3,79.72µm
clk_i,60.34µm
net7,60.02µm
clknet_1_0__leaf_clk_i,59µm
_13_,58.95µm
net4,51.62µm
net5,50.55µm
clknet_1_1__leaf_clk_i,50.4µm
_15_,48.26µm
net6,44.8µm
net8,41.59µm
net9,34.36µm
net11,33.09µm
_29_,31.46µm
_09_,26.42µm
net10,25.86µm
_19_,20.72µm
_16_,20.21µm
_28_,19.6µm
_14_,19.04µm
_04_,17.36µm
_21_,16.85µm
_30_,14.56µm
count_o[1],13.3µm
_08_,12.32µm
_33_,11.81µm
_26_,11.76µm
_12_,11.3µm
_05_,10.13µm
_10_,10.08µm
rst_ni,9.94µm
count_o[3],9.94µm
ovf_o,9.14µm
count_o[2],8.82µm
_32_,8.5µm
_02_,8.45µm
en_i,8.02µm
count_o[6],8.02µm
count_o[7],8.02µm
clknet_0_clk_i,7.84µm
count_o[0],7.46µm
_23_,7.33µm
_17_,7.28µm
count_o[4],7.14µm
_31_,6.72µm
_06_,6.26µm
count_o[5],5.78µm
_00_,5.6µm
_07_,5.04µm
_18_,4.58µm
_03_,3.92µm
_25_,3.36µm
_01_,2.8µm
_20_,2.8µm
_27_,2.8µm
_24_,2.24µm
_11_,1.68µm
