Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_162,VDD,Metal1,94.6400,94.0800,4.999984
FILLER_22_154,VDD,Metal1,92.3465,93.5030,4.999984
FILLER_22_138,VDD,Metal1,85.7280,93.3880,4.999984
FILLER_22_104,VDD,Metal1,71.2355,93.3110,4.999984
FILLER_22_36,VDD,Metal1,33.1555,93.3110,4.999986
FILLER_22_2,VDD,Metal1,14.1155,93.3110,4.999988
FILLER_21_162,VDD,Metal1,94.6400,86.2400,5.000000
FILLER_21_158,VDD,Metal1,93.3400,86.6725,5.000000
FILLER_21_142,VDD,Metal1,87.9680,86.9320,5.000000
FILLER_21_136,VDD,Metal1,81.0200,86.6725,5.000000
FILLER_21_72,VDD,Metal1,62.3150,87.0540,5.000000
FILLER_21_66,VDD,Metal1,41.8200,86.6725,5.000000
FILLER_21_2,VDD,Metal1,23.1150,87.0540,5.000000
FILLER_20_163,VDD,Metal1,94.9200,86.2400,5.000000
FILLER_20_155,VDD,Metal1,92.9065,85.6630,5.000000
FILLER_20_139,VDD,Metal1,86.2880,85.5480,5.000000
FILLER_20_107,VDD,Metal1,72.9155,85.4710,5.000000
FILLER_20_101,VDD,Metal1,61.4200,85.8075,5.000000
FILLER_20_37,VDD,Metal1,42.7150,85.4255,5.000000
FILLER_20_34,VDD,Metal1,22.6800,86.2400,5.000000
FILLER_20_2,VDD,Metal1,14.1155,85.4710,5.000000
FILLER_19_162,VDD,Metal1,94.6400,78.4000,5.000000
FILLER_19_158,VDD,Metal1,93.3400,78.8325,5.000000
FILLER_19_142,VDD,Metal1,87.9680,79.0920,5.000000
FILLER_19_136,VDD,Metal1,81.0200,78.8325,5.000000
FILLER_19_72,VDD,Metal1,62.3150,79.2140,5.000000
FILLER_19_66,VDD,Metal1,41.8200,78.8325,5.000000
FILLER_19_2,VDD,Metal1,23.1150,79.2140,5.000000
FILLER_18_163,VDD,Metal1,94.9200,78.4000,5.000000
FILLER_18_155,VDD,Metal1,92.9065,77.8230,5.000000
FILLER_18_139,VDD,Metal1,86.2880,77.7080,5.000000
FILLER_18_107,VDD,Metal1,72.9155,77.6310,5.000000
FILLER_18_101,VDD,Metal1,61.4200,77.9675,5.000000
FILLER_18_37,VDD,Metal1,42.7150,77.5855,5.000000
FILLER_18_34,VDD,Metal1,22.6800,78.4000,5.000000
FILLER_18_2,VDD,Metal1,14.1155,77.6310,5.000000
FILLER_17_162,VDD,Metal1,94.6400,70.5600,4.999992
FILLER_17_158,VDD,Metal1,93.3400,70.9925,4.999992
FILLER_17_142,VDD,Metal1,87.9680,71.2520,4.999992
FILLER_17_136,VDD,Metal1,81.0200,70.9925,4.999992
FILLER_17_72,VDD,Metal1,62.3150,71.3740,4.999992
FILLER_17_66,VDD,Metal1,41.8200,70.9925,4.999992
FILLER_17_2,VDD,Metal1,23.1150,71.3740,4.999992
FILLER_16_163,VDD,Metal1,94.9200,70.5600,4.999992
FILLER_16_155,VDD,Metal1,92.9065,69.9830,4.999992
FILLER_16_139,VDD,Metal1,86.2880,69.8680,4.999992
FILLER_16_107,VDD,Metal1,72.9155,69.7910,4.999992
FILLER_16_104,VDD,Metal1,61.8800,70.5600,4.999992
FILLER_16_100,VDD,Metal1,60.8600,70.1275,4.999992
FILLER_16_92,VDD,Metal1,57.6265,69.9830,4.999992
FILLER_16_60,VDD,Metal1,46.5955,69.7910,4.999992
FILLER_16_47,VDD,Metal1,29.9600,70.5600,4.999992
FILLER_16_45,VDD,Metal1,29.1200,70.5600,4.999992
FILLER_16_37,VDD,Metal1,26.8265,69.9830,4.999992
FILLER_16_34,VDD,Metal1,22.6800,70.5600,4.999992
FILLER_16_18,VDD,Metal1,18.5280,69.8680,4.999992
FILLER_15_146,VDD,Metal1,85.6800,62.7200,4.999916
FILLER_15_142,VDD,Metal1,84.3800,63.1525,4.999916
FILLER_15_139,VDD,Metal1,81.4800,62.7200,4.999916
FILLER_15_135,VDD,Metal1,80.4600,63.1525,4.999916
FILLER_15_127,VDD,Metal1,77.2265,63.2965,4.999916
FILLER_15_96,VDD,Metal1,57.6800,62.7200,4.999919
FILLER_15_92,VDD,Metal1,56.3800,63.1525,4.999919
FILLER_15_84,VDD,Metal1,53.1465,63.2965,4.999919
FILLER_15_74,VDD,Metal1,45.0800,62.7200,4.999919
FILLER_15_72,VDD,Metal1,44.2400,62.7200,4.999919
FILLER_15_66,VDD,Metal1,41.8200,63.1525,4.999921
FILLER_15_38,VDD,Metal1,24.9200,62.7200,4.999924
FILLER_15_34,VDD,Metal1,23.9000,63.1525,4.999924
FILLER_15_18,VDD,Metal1,18.5280,63.4120,4.999927
FILLER_14_147,VDD,Metal1,85.9600,62.7200,4.999916
FILLER_14_145,VDD,Metal1,85.1200,62.7200,4.999916
FILLER_14_113,VDD,Metal1,76.2755,61.9510,4.999916
FILLER_14_107,VDD,Metal1,63.8400,62.7200,4.999916
FILLER_14_98,VDD,Metal1,58.8000,62.7200,4.999919
FILLER_14_67,VDD,Metal1,41.4400,62.7200,4.999921
FILLER_14_37,VDD,Metal1,24.3600,62.7200,4.999924
FILLER_14_34,VDD,Metal1,22.6800,62.7200,4.999927
FILLER_14_18,VDD,Metal1,18.5280,62.0280,4.999927
FILLER_13_162,VDD,Metal1,94.6400,54.8800,4.999799
FILLER_13_158,VDD,Metal1,93.3400,55.3125,4.999799
FILLER_13_142,VDD,Metal1,87.9680,55.5720,4.999799
FILLER_13_136,VDD,Metal1,81.0200,55.3125,4.999799
FILLER_13_128,VDD,Metal1,77.7865,55.4565,4.999799
FILLER_13_72,VDD,Metal1,43.9600,54.8800,4.999799
FILLER_13_69,VDD,Metal1,42.2800,54.8800,4.999799
FILLER_13_65,VDD,Metal1,41.2600,55.3125,4.999799
FILLER_13_34,VDD,Metal1,22.9600,54.8800,4.999816
FILLER_13_2,VDD,Metal1,14.1155,55.6485,4.999817
FILLER_12_163,VDD,Metal1,94.9200,54.8800,4.999799
FILLER_12_147,VDD,Metal1,90.7680,54.1880,4.999799
FILLER_12_115,VDD,Metal1,77.3955,54.1110,4.999799
