Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_118,VSS,Metal1,69.7200,66.6400,0.000000
FILLER_16_116,VSS,Metal1,68.8800,66.6400,0.000000
FILLER_16_112,VSS,Metal1,66.8200,66.9885,0.000000
FILLER_16_104,VSS,Metal1,63.3330,67.1015,0.000000
FILLER_16_101,VSS,Metal1,60.2000,66.6400,0.000000
FILLER_16_93,VSS,Metal1,57.1730,67.1015,0.000000
FILLER_16_76,VSS,Metal1,46.2000,66.6400,0.000000
FILLER_16_74,VSS,Metal1,45.3600,66.6400,0.000000
FILLER_16_70,VSS,Metal1,43.3000,66.9885,0.000000
FILLER_16_36,VSS,Metal1,31.8040,67.2375,0.000000
FILLER_16_2,VSS,Metal1,12.7640,67.2375,0.000000
FILLER_15_118,VSS,Metal1,69.7200,66.6400,0.000000
FILLER_15_116,VSS,Metal1,68.8800,66.6400,0.000000
FILLER_15_112,VSS,Metal1,66.8200,66.2910,0.000000
FILLER_15_104,VSS,Metal1,63.3330,66.1780,0.000000
FILLER_15_72,VSS,Metal1,51.9640,66.0420,0.000000
FILLER_15_66,VSS,Metal1,41.0600,66.2910,0.000000
FILLER_15_2,VSS,Metal1,21.6845,66.0020,0.000000
FILLER_14_115,VSS,Metal1,68.5000,59.1485,0.000017
FILLER_14_107,VSS,Metal1,65.0130,59.2615,0.000017
FILLER_14_101,VSS,Metal1,60.6600,59.1485,0.000017
FILLER_14_37,VSS,Metal1,41.2845,59.4375,0.000017
FILLER_14_34,VSS,Metal1,22.6800,58.8000,0.000017
FILLER_14_18,VSS,Metal1,17.3120,59.3480,0.000017
FILLER_13_118,VSS,Metal1,69.7200,58.8000,0.000017
FILLER_13_116,VSS,Metal1,68.8800,58.8000,0.000017
FILLER_13_112,VSS,Metal1,66.8200,58.4510,0.000017
FILLER_13_104,VSS,Metal1,63.3330,58.3380,0.000017
FILLER_13_72,VSS,Metal1,51.9640,58.2020,0.000017
FILLER_13_68,VSS,Metal1,42.0000,58.8000,0.000017
FILLER_13_64,VSS,Metal1,39.9400,58.4510,0.000017
FILLER_13_56,VSS,Metal1,36.4530,58.3380,0.000017
FILLER_13_24,VSS,Metal1,25.0840,58.2020,0.000017
FILLER_12_115,VSS,Metal1,68.5000,51.3085,0.000099
FILLER_12_107,VSS,Metal1,65.0130,51.4215,0.000099
FILLER_12_89,VSS,Metal1,57.0720,51.5080,0.000099
FILLER_12_51,VSS,Metal1,32.2000,50.9600,0.000097
FILLER_12_47,VSS,Metal1,30.4200,51.3085,0.000097
FILLER_12_34,VSS,Metal1,22.6800,50.9600,0.000086
